,"PMD (LR, Stem, Lamina, CPB and Basement)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material Stores,,,,,,,,,,,,,,,,MSW,,,,,,,,,,,,,,,,,,,,,,,,,,,RDL,
,,,,,,,,,,,,,,,,,,,,,,,,Basement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Floor,,,,,2nd Floor,,,,,,Ground Floor,,,,,Area B,,,,,,Area C,,,,Area A,,,,,,Area D,,,,Over Floor,,,,,MSG,,,
Date,34,35,36,37,39,38,40,42,43,44,45,46,47,41,48,52,54,53,49,56,50,51,55,62,63,64,65,66,67,68,58,59,57,60,3,4,10,11,13,12,16,19,20,21,22,25,26,33,29,30,31,27,23,24,17,18,14,15,8,9,5,6,7,1,2,28,32,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,112,113
2019-02-01,0,0,1,1,0,2,0,1,0,0,0,1,0,2,1,0,1,0,1,6,2,2,2,0,0,0,0,0,0,0,0,1,1,3,3,1,2,0,5,2,1,0,3,1,2,0,1,0,1,0,0,0,0,0,0,0,2,1,3,1,2,2,1,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-02,4,1,0,1,5,2,1,1,3,0,4,6,1,3,3,1,5,6,10,1,7,11,4,0,0,0,0,0,0,0,2,10,4,10,4,5,4,0,8,3,2,0,2,1,2,7,0,4,1,0,0,0,1,0,0,1,1,1,5,5,3,6,0,2,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-02-03,4,2,0,2,5,2,1,2,3,0,4,6,2,3,3,1,6,6,10,1,7,11,4,0,0,0,0,0,0,0,2,20,4,10,4,5,4,0,8,3,2,1,3,2,3,7,1,4,1,1,0,0,1,0,0,1,1,1,5,5,4,6,0,3,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-02-04,4,2,1,2,5,2,1,2,4,0,4,6,2,4,4,1,6,7,15,2,7,11,4,0,0,0,0,0,0,0,3,20,5,10,4,5,4,0,8,3,3,1,3,2,3,7,1,4,1,1,0,0,1,0,1,2,1,1,5,5,4,6,0,3,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
2019-02-05,4,2,1,2,6,3,2,2,4,1,4,7,2,4,4,1,6,7,15,2,7,11,5,0,0,0,0,0,0,0,3,20,5,11,4,5,4,1,8,3,3,1,3,2,3,8,1,5,2,1,1,1,2,0,1,2,1,2,5,6,4,6,1,3,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
2019-02-06,2,0,0,0,5,3,0,0,4,1,4,3,2,1,0,1,10,1,4,4,4,14,8,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,4,1,3,3,5,2,0,0,7,0,4,0,0,3,5,3,9,1,5,2,1,16,5,0,0,0,0,0,0,0,1,4,1,4,0,0,4,0,0,2,0,0,2,0,1,0,0,5,3,3,0,0,1,0,0,3,2,1,4,0,3,1,1,6,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,7,1,0,5,9,5,3,1,3,0,1,2,1,0,0,0,7,0,0,5,6,21,3,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,2,0,1,0,1,1,1,4,2,2,0,0,0,0,0,1,1,0,2,4,3,4,1,6,1,1,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
